beds,baths,area,distance,price,price_bucket
3.0,2.0,2584.0,18.726140002118992,1100000.0,price >= 900k
1.0,1.0,650.0,1.0538083636260023,699000.0,600k <= price < 900k
2.0,3.0,1794.0,0.4710380912156678,1750000.0,price >= 900k
4.0,3.0,1831.0,3.611434616203252,979000.0,price >= 900k
3.0,3.0,1875.0,2.2006081156102653,1875000.0,price >= 900k
3.0,1.0,1094.0,13.926453767933273,329000.0,price < 600k
2.0,3.0,2260.0,27.693981313096863,725000.0,600k <= price < 900k
7.0,4.0,3883.0,9.662119356452454,1499000.0,price >= 900k
4.0,2.0,2611.0,19.334289896273283,1586000.0,price >= 900k
4.0,2.0,2611.0,19.334289896273283,898000.0,600k <= price < 900k
3.0,2.0,1463.0,27.762578822147567,355000.0,price < 600k
4.0,5.0,4534.0,10.846171729037131,1795000.0,price >= 900k
2.0,3.0,1155.0,3.42467063454061,765000.0,600k <= price < 900k
6.0,3.0,2452.0,13.57916452449097,700000.0,600k <= price < 900k
5.0,3.0,2052.0,14.77296051843185,649900.0,600k <= price < 900k
2.0,2.0,997.0,2.5184190456582187,679000.0,600k <= price < 900k
1.0,1.0,844.0,7.293912057893058,449000.0,price < 600k
1.0,1.0,714.0,32.550350232189935,230000.0,price < 600k
1.0,1.0,871.0,1.1793852138138843,559000.0,price < 600k
4.0,2.0,1212.0,18.150526563190898,619900.0,600k <= price < 900k
5.0,4.0,3704.0,14.791092739309436,1785000.0,price >= 900k
3.0,4.0,2286.0,1.6756759523036762,4999000.0,price >= 900k
2.0,2.0,1629.0,23.169246248489696,559000.0,price < 600k
6.0,3.0,3036.0,14.826726831941723,747000.0,600k <= price < 900k
1.0,1.0,634.0,3.742988355194748,469000.0,price < 600k
5.0,4.0,2605.0,18.34351425381147,1468000.0,price >= 900k
2.0,2.0,914.0,3.0047821828063093,699000.0,600k <= price < 900k
9.0,6.0,3534.0,4.79438767665142,1525000.0,price >= 900k
4.0,2.0,1915.0,7.17729018780396,689900.0,600k <= price < 900k
5.0,6.0,5020.0,11.89745120476675,2599000.0,price >= 900k
2.0,2.0,1389.0,0.9302963013463282,2294900.0,price >= 900k
4.0,3.0,2350.0,15.981893940105516,779900.0,600k <= price < 900k
