player_id,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,salary2022-2023_mill
nurkiju01,Jusuf Nurkić,C,27,POR,56,56,1579,9.9,18.6,0.535,0.5,1.7,0.268,9.5,16.8,0.563,5.7,8.3,0.69,5.2,14.0,19.2,4.9,1.9,1.1,4.4,5.8,26.1,112.0,112,15.625
nwabada01,David Nwaba,SF,29,HOU,46,4,609,6.6,13.8,0.483,1.2,3.8,0.306,5.5,9.9,0.551,3.8,5.2,0.716,3.2,8.6,11.8,2.7,2.2,1.6,1.6,4.3,18.2,117.0,113,5.022
nworajo01,Jordan Nwora,SF,23,MIL,62,13,1185,7.5,18.7,0.403,3.2,9.2,0.348,4.3,9.5,0.455,1.5,1.7,0.837,1.5,7.5,9.0,2.4,1.0,0.7,2.3,3.2,19.7,100.0,113,3.0
onealro01,Royce O'Neale,SF,28,UTA,77,77,2406,4.2,9.1,0.457,2.4,6.3,0.389,1.7,2.8,0.609,0.9,1.2,0.804,1.3,6.2,7.6,3.9,1.8,0.7,1.6,3.8,11.7,122.0,111,9.2
okekech01,Chuma Okeke,PF,23,ORL,70,20,1749,6.0,15.9,0.376,3.3,10.3,0.318,2.7,5.6,0.48,1.5,1.8,0.846,1.3,8.3,9.6,3.3,2.7,1.2,1.6,2.6,16.7,101.0,109,3.43332
okogijo01,Josh Okogie,SG,23,MIN,49,6,516,3.9,9.6,0.404,1.3,4.3,0.298,2.6,5.3,0.491,3.2,4.7,0.686,2.7,3.8,6.5,2.3,2.4,1.1,2.1,4.9,12.3,107.0,112,1.83609
okorois01,Isaac Okoro,SF,21,CLE,67,61,1981,5.2,10.9,0.48,1.4,4.0,0.35,3.8,6.9,0.555,3.0,3.9,0.768,1.8,3.3,5.1,3.1,1.4,0.6,1.5,4.1,14.8,120.0,113,7.04088
okpalkz01,KZ Okpala,PF,22,MIA,21,0,244,6.2,14.1,0.435,1.8,5.3,0.346,4.3,8.8,0.488,1.6,2.3,0.727,2.3,6.2,8.4,2.9,0.8,1.4,1.0,5.1,15.8,113.0,110,1.902133
oladivi01,Victor Oladipo,SG,29,MIA,8,1,173,10.1,21.1,0.479,4.3,10.4,0.417,5.8,10.7,0.541,4.0,5.5,0.737,0.9,5.8,6.7,8.1,1.4,0.3,4.6,3.8,28.6,113.0,111,8.75
olynyke01,Kelly Olynyk,C,30,DET,40,1,764,8.2,18.3,0.448,2.6,7.6,0.336,5.6,10.7,0.527,4.4,5.7,0.775,3.4,7.9,11.3,7.1,2.0,1.2,3.7,6.4,23.3,112.0,112,12.804878
osmande01,Cedi Osman,SF,26,CLE,66,3,1462,8.4,19.5,0.432,4.4,12.3,0.357,4.1,7.3,0.559,3.0,4.5,0.664,0.9,4.1,5.0,4.6,1.8,0.3,2.3,4.3,24.2,111.0,112,7.426088
oubreke01,Kelly Oubre Jr.,SF,26,CHO,76,13,1999,9.8,22.4,0.44,4.6,13.3,0.345,5.3,9.1,0.578,3.0,4.5,0.667,1.9,5.4,7.2,2.0,1.8,0.7,1.6,4.5,27.3,111.0,115,12.6
paulch01,Chris Paul,PG,36,PHO,65,65,2139,8.2,16.6,0.493,1.4,4.5,0.317,6.7,12.1,0.559,3.8,4.5,0.837,0.5,5.9,6.4,15.8,2.7,0.4,3.4,3.0,21.6,124.0,107,28.4
payneca01,Cameron Payne,PG,27,PHO,58,12,1278,9.0,22.1,0.409,2.7,7.9,0.336,6.4,14.2,0.449,2.8,3.4,0.843,0.9,5.7,6.6,10.6,1.5,0.6,3.9,4.5,23.6,104.0,109,6.0
paytoga02,Gary Payton II,SG,29,GSW,71,16,1247,8.3,13.5,0.616,1.7,4.7,0.358,6.6,8.8,0.754,1.4,2.3,0.603,2.8,6.8,9.7,2.5,3.8,0.9,1.6,5.1,19.6,129.0,103,8.3
pinsoth01,Theo Pinson,SF,26,DAL,19,0,148,4.8,13.3,0.359,3.4,10.2,0.333,1.4,3.1,0.444,3.4,3.4,1.0,0.7,6.5,7.1,5.8,1.7,0.7,1.7,4.1,16.3,117.0,109,1.83609
plumlma01,Mason Plumlee,C,31,CHO,73,73,1793,5.5,8.6,0.641,0.0,0.1,0.0,5.5,8.5,0.645,1.8,4.6,0.392,4.7,10.4,15.1,6.0,1.6,1.4,2.7,6.0,12.8,122.0,111,9.080417
poeltja01,Jakob Poeltl,C,26,SAS,68,67,1970,10.0,16.1,0.618,0.0,0.0,1.0,10.0,16.1,0.618,2.3,4.6,0.495,6.4,9.1,15.4,4.6,1.1,2.9,2.7,5.2,22.3,123.0,110,9.398148
pokusal01,Aleksej Pokusevski,PF,20,OKC,61,12,1233,7.3,18.0,0.408,2.3,7.8,0.289,5.1,10.2,0.498,1.4,2.0,0.7,2.9,9.7,12.6,5.2,1.5,1.5,3.7,3.5,18.3,96.0,111,3.26148
poolejo01,Jordan Poole,SG,22,GSW,76,51,2283,10.1,22.6,0.448,4.5,12.4,0.364,5.6,10.2,0.55,5.3,5.7,0.925,0.7,4.8,5.6,6.5,1.3,0.5,4.0,4.4,30.0,112.0,110,3.901399
porteke02,Kevin Porter Jr.,PG,21,HOU,61,61,1907,8.4,20.2,0.415,3.9,10.3,0.375,4.5,9.9,0.456,3.1,4.8,0.642,1.1,5.6,6.7,9.4,1.7,0.5,4.8,3.9,23.7,103.0,117,3.217631
portemi01,Michael Porter Jr.,SF,23,DEN,9,9,265,6.8,19.1,0.359,1.9,8.9,0.208,5.0,10.2,0.491,0.9,1.7,0.556,1.7,9.3,10.9,3.1,1.9,0.4,2.2,3.0,16.5,87.0,111,30.91375
porteot01,Otto Porter Jr.,PF,28,GSW,63,15,1396,6.7,14.5,0.464,2.8,7.5,0.37,3.9,7.0,0.565,1.7,2.1,0.803,3.0,9.6,12.6,3.3,2.4,1.0,1.3,2.9,18.0,121.0,104,6.0
portibo01,Bobby Portis,C,26,MIL,72,59,2028,9.9,20.6,0.479,3.1,8.0,0.393,6.7,12.6,0.533,2.0,2.7,0.752,4.3,11.3,15.6,2.0,1.3,1.2,2.1,4.1,24.9,115.0,110,10.84335
poweldw01,Dwight Powell,C,30,DAL,82,71,1798,7.5,11.2,0.671,0.4,1.0,0.351,7.2,10.2,0.703,4.6,5.9,0.783,4.8,6.5,11.3,2.7,1.0,1.1,1.8,6.2,20.1,142.0,110,11.080125
primojo01,Joshua Primo,SF,19,SAS,50,16,965,5.0,13.4,0.374,2.1,6.8,0.307,2.9,6.6,0.444,2.2,2.9,0.746,1.6,4.0,5.6,4.0,1.0,1.1,2.8,3.9,14.3,96.0,115,4.14432
princta02,Taurean Prince,PF,27,MIN,69,8,1177,7.2,15.8,0.454,3.5,9.3,0.376,3.7,6.5,0.565,2.5,3.3,0.756,1.1,6.0,7.0,2.7,1.9,0.9,2.1,4.7,20.3,112.0,112,7.295
pritcpa01,Payton Pritchard,PG,24,BOS,71,2,1001,7.9,18.5,0.429,5.0,12.2,0.412,2.9,6.4,0.461,1.0,1.0,1.0,1.6,5.1,6.7,6.9,1.2,0.3,2.0,3.0,21.9,120.0,110,2.2392
queentr01,Trevelin Queen,SG,24,HOU,10,0,74,9.6,21.2,0.455,5.8,15.4,0.375,3.9,5.8,0.667,2.6,2.6,1.0,4.5,5.8,10.3,2.6,3.2,0.6,4.5,3.9,27.7,109.0,114,0.33
quickim01,Immanuel Quickley,PG,22,NYK,78,3,1802,7.9,20.1,0.392,3.8,11.0,0.346,4.1,9.1,0.448,4.9,5.6,0.881,0.9,6.0,6.9,7.6,1.5,0.1,2.7,4.6,24.5,114.0,112,2.31624
randlju01,Julius Randle,PF,27,NYK,72,72,2544,10.1,24.5,0.411,2.4,7.7,0.308,7.7,16.8,0.458,6.0,7.9,0.756,2.5,11.6,14.1,7.3,1.0,0.8,4.8,4.0,28.5,102.0,109,23.76
reaveau01,Austin Reaves,SG,23,LAL,61,19,1418,4.9,10.7,0.459,1.8,5.6,0.317,3.1,5.1,0.616,3.3,4.0,0.839,1.5,5.0,6.5,3.7,1.0,0.7,1.4,2.9,15.0,123.0,116,1.563518
reedda01,Davon Reed,SG,26,DEN,48,5,668,5.9,11.8,0.503,2.7,6.3,0.43,3.2,5.5,0.587,0.7,1.1,0.667,1.0,6.9,7.9,3.9,1.8,0.7,1.2,4.6,15.3,123.0,112,1.902133
reedpa01,Paul Reed,C,22,PHI,38,2,302,8.9,15.9,0.563,0.3,1.3,0.25,8.6,14.5,0.591,1.0,2.3,0.429,7.3,7.9,15.2,2.6,5.5,2.3,1.7,9.4,19.2,122.0,100,1.782621
reidna01,Naz Reid,C,22,MIN,77,6,1215,9.1,18.6,0.489,2.2,6.5,0.343,6.9,12.1,0.568,4.5,5.8,0.765,4.0,7.8,11.8,2.8,1.6,2.8,3.2,6.7,24.9,113.0,109,1.930681
riverau01,Austin Rivers,SG,29,DEN,67,18,1480,4.8,11.6,0.417,2.6,7.7,0.342,2.2,3.9,0.563,1.1,1.5,0.727,0.6,3.1,3.8,3.0,1.7,0.2,1.8,4.0,13.4,104.0,115,1.83609
robindu01,Duncan Robinson,SG,27,MIA,79,68,2043,7.1,17.8,0.399,5.7,15.3,0.372,1.4,2.5,0.569,1.2,1.5,0.836,0.6,4.4,5.0,3.2,1.0,0.3,1.5,4.9,21.1,113.0,112,16.902
robinje02,Jeremiah Robinson-Earl,C,21,OKC,49,36,1087,6.0,14.5,0.414,2.6,7.4,0.352,3.4,7.1,0.478,1.8,2.4,0.741,3.4,8.9,12.3,2.2,1.3,0.7,1.7,3.4,16.4,108.0,113,2.0
robyis01,Isaiah Roby,PF,23,OKC,45,28,948,8.5,16.6,0.514,2.3,5.1,0.444,6.3,11.5,0.545,4.0,6.0,0.672,3.9,7.3,11.1,3.6,1.8,1.7,2.2,5.6,23.3,120.0,111,1.930681
rosede01,Derrick Rose,PG,33,NYK,26,4,636,9.6,21.6,0.445,2.9,7.2,0.402,6.7,14.3,0.467,2.4,2.4,0.968,1.7,4.5,6.1,8.1,1.7,0.9,3.1,1.2,24.5,112.0,112,14.52073
rosste01,Terrence Ross,SG,30,ORL,63,0,1448,7.3,18.5,0.397,2.6,8.8,0.292,4.8,9.7,0.493,3.7,4.3,0.862,0.7,4.7,5.4,3.9,0.9,0.4,2.5,2.3,21.0,100.0,116,11.5
roziete01,Terry Rozier,SG,27,CHO,73,73,2458,10.1,22.8,0.444,4.3,11.6,0.374,5.8,11.2,0.516,2.9,3.4,0.852,1.1,5.1,6.1,6.4,1.8,0.5,1.9,2.3,27.5,117.0,115,21.486316
rubiori01,Ricky Rubio,PG,31,CLE,34,8,970,7.7,21.2,0.363,3.0,9.0,0.339,4.6,12.2,0.38,4.5,5.3,0.854,0.8,6.5,7.3,11.6,2.5,0.4,4.6,3.9,22.9,102.0,108,5.853659
russeda01,D'Angelo Russell,PG,25,MIN,65,65,2077,9.2,22.3,0.411,4.0,11.9,0.34,5.2,10.5,0.492,4.5,5.5,0.825,0.6,4.4,4.9,10.5,1.4,0.5,3.8,3.0,26.9,112.0,115,31.37775
sengual01,Alperen Şengün,C,19,HOU,72,13,1489,8.0,16.8,0.474,0.9,3.7,0.248,7.0,13.0,0.539,5.3,7.4,0.711,4.4,8.2,12.6,5.9,1.9,2.2,4.6,6.8,22.1,107.0,113,3.37536
sextoco01,Collin Sexton,SG,23,CLE,11,11,316,10.7,23.9,0.45,1.7,7.1,0.244,9.0,16.8,0.538,4.6,6.2,0.744,2.1,3.6,5.7,3.6,1.6,0.0,4.9,4.0,27.8,96.0,113,16.5
shamela01,Landry Shamet,SG,24,PHO,69,14,1437,6.4,16.2,0.394,4.1,11.2,0.368,2.3,5.1,0.45,2.3,2.7,0.84,0.5,3.7,4.2,3.6,0.9,0.3,1.4,3.1,19.2,111.0,112,9.5
sharpda01,Day'Ron Sharpe,PF,20,BRK,32,8,391,10.7,18.5,0.577,0.2,0.9,0.286,10.4,17.6,0.592,3.0,5.1,0.585,10.0,9.8,19.8,2.1,1.2,1.9,3.7,7.4,24.5,118.0,111,2.10948
siakapa01,Pascal Siakam,PF,27,TOR,68,68,2578,11.6,23.4,0.494,1.5,4.2,0.344,10.1,19.2,0.527,5.5,7.3,0.749,2.5,8.8,11.2,7.0,1.6,0.8,3.5,4.4,30.1,116.0,110,35.448672
simonma01,Marko Simonovic,C,22,CHI,9,0,35,5.6,20.9,0.267,1.4,7.0,0.2,4.2,14.0,0.3,11.2,15.3,0.727,7.0,7.0,14.0,0.0,1.4,1.4,2.8,8.4,23.7,96.0,113,1.563518
simonan01,Anfernee Simons,SG,22,POR,57,30,1681,10.3,23.2,0.443,5.2,12.8,0.405,5.1,10.3,0.49,3.0,3.4,0.888,0.8,3.6,4.4,6.4,0.9,0.2,3.3,3.2,28.7,112.0,121,22.321429
