round_idx,frac0,frac1,new_coin0,new_coin1,coin_total0,coin_total1,name0,name1
0.0,0.0,0.5,0.0,0.5,0.0,0.5,optimal_frac_strat,copycat
1.0,0.1125,0.0,0.16875,0.0,0.16875,0.5,optimal_frac_strat,copycat
2.0,0.09,0.1125,0.3594375,0.40886015625000005,0.5281875,0.90886015625,optimal_frac_strat,copycat
3.0,0.08915625,0.09,0.8627077065673832,0.7932284392214358,1.3908952065673832,1.702088595471436,optimal_frac_strat,copycat
4.0,0.08655750000000001,0.08915625,2.08268274237992,1.9595277654578866,3.473577948947303,3.6616163609293224,optimal_frac_strat,copycat
5.0,0.08458846875,0.08655750000000001,5.080142901215647,4.758672849871274,8.55372085016295,8.420289210800597,optimal_frac_strat,copycat
6.0,0.0829024392857143,0.08458846875,12.48966882137782,11.687195666758505,21.043389671540773,20.107484877559102,optimal_frac_strat,copycat
7.0,0.08144285770647322,0.0829024392857143,30.90222777608519,28.894173281093263,51.94561744762596,49.00165815865236,optimal_frac_strat,copycat
8.0,0.08015845582366071,0.08144285770647322,76.86508275683533,71.83660198271737,128.81070020446128,120.83826014136973,optimal_frac_strat,copycat
9.0,0.07901387707103238,0.08015845582366071,192.054099846814,179.44139591088413,320.8648000512753,300.27965605225387,optimal_frac_strat,copycat
0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal_frac_strat,Misha:)
1.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal_frac_strat,Misha:)
2.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal_frac_strat,Misha:)
3.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal_frac_strat,Misha:)
4.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal_frac_strat,Misha:)
5.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal_frac_strat,Misha:)
6.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal_frac_strat,Misha:)
7.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal_frac_strat,Misha:)
8.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal_frac_strat,Misha:)
9.0,0.0,0.99999,0.0,19682.80317,0.0,19682.80317,optimal_frac_strat,Misha:)
0.0,0.0,0.5,0.0,0.5,0.0,0.5,optimal_frac_strat,Adaptive Play 0.5 to 1
1.0,0.1125,0.5,0.16875,0.665625,0.16875,1.165625,optimal_frac_strat,Adaptive Play 0.5 to 1
2.0,0.16499999999999998,0.5,0.329484375,0.8336953125000001,0.498234375,1.9993203125,optimal_frac_strat,Adaptive Play 0.5 to 1
3.0,0.1965,0.5,0.49146338671875006,1.004811275390625,0.9896977617187501,3.004131587890625,optimal_frac_strat,Adaptive Play 0.5 to 1
4.0,0.21792000000000003,0.5,0.6569054193993752,1.17876420338625,1.6466031811181252,4.182895791276875,optimal_frac_strat,Adaptive Play 0.5 to 1
5.0,0.233628,1.0,0.8261769699261684,2.7101156402325812,2.4727801510442937,6.893011431509457,optimal_frac_strat,Adaptive Play 0.5 to 1
0.0,0.0,0.381761622716811,0.0,0.381761622716811,0.0,0.381761622716811,optimal_frac_strat,FiftyFifty
1.0,0.08589636511128249,0.08504275330340672,0.14576484748129062,0.1577300814059782,0.14576484748129062,0.5394917041227892,optimal_frac_strat,FiftyFifty
2.0,0.08147350508453699,0.4238824757957844,0.37915004127985585,1.811890122212515,0.5249148887611464,2.351381826335304,optimal_frac_strat,FiftyFifty
3.0,0.1169392578488822,0.0008375805448665452,0.8632074099278386,0.006187928923359117,1.3881222986889852,2.3575697552586634,optimal_frac_strat,FiftyFifty
4.0,0.10298192915605432,0.05135354187308022,1.9104341462640793,1.004238949626773,3.298556444953064,3.361808704885436,optimal_frac_strat,FiftyFifty
5.0,0.09653525188092989,0.3336344996205146,4.819249707980637,15.047891807236729,8.117806152933701,18.409700512122164,optimal_frac_strat,FiftyFifty
6.0,0.109708733838169,0.6365641984274193,9.89189890465537,51.09904560446739,18.009705057589073,69.50874611658955,optimal_frac_strat,FiftyFifty
7.0,0.13728731496184865,0.8432184515400379,12.015724222885744,63.66867706466899,30.025429280474818,133.17742318125855,optimal_frac_strat,FiftyFifty
8.0,0.17029574987472731,0.8160404444937859,6.047915826531776,24.04567247698136,36.073345107006595,157.2230956582399,optimal_frac_strat,FiftyFifty
9.0,0.19679982488446404,0.9449984752464459,3.2003211194939105,12.343085920196515,39.27366622650051,169.56618157843644,optimal_frac_strat,FiftyFifty
0.0,0.0,0.1,0.0,0.1,0.0,0.1,optimal_frac_strat,increasing
1.0,0.022500000000000003,0.2,0.06075000000000001,0.52785,0.06075000000000001,0.62785,optimal_frac_strat,increasing
2.0,0.048000000000000015,0.30000000000000004,0.30404160000000013,1.8090475200000007,0.36479160000000016,2.4368975200000005,optimal_frac_strat,increasing
3.0,0.07455000000000002,0.4,0.9440514483120003,4.6877124766752,1.3088430483120004,7.124609996675201,optimal_frac_strat,increasing
4.0,0.10160400000000001,0.5,2.1433065231604815,9.475699810938957,3.452149571472482,16.60030980761416,optimal_frac_strat,increasing
5.0,0.1289436,0.6,3.6654925384253656,14.856964136634904,7.117642109897847,31.457273944249064,optimal_frac_strat,increasing
6.0,0.15646272,0.7,4.649122039520699,17.54536436362438,11.766764149418545,49.00263830787344,optimal_frac_strat,increasing
7.0,0.184103016,0.7999999999999999,4.153055780779933,14.724215863675422,15.919819930198479,63.726854171548865,optimal_frac_strat,increasing
8.0,0.2118294816,0.9,2.3392672600266464,7.83350517395693,18.259087190225124,71.5603593455058,optimal_frac_strat,increasing
